participacion_id,atleta_id,nombre_usado_en_evento
680,231,Jenő Zsigmondy
681,232,Aida Steshenko
682,232,Aida Steshenko
683,233,Yayuk Basuki
684,233,Yayuk Basuki
685,233,Yayuk Basuki
686,233,Yayuk Basuki
687,233,Yayuk Basuki
688,233,Yayuk Basuki
689,234,Rossy Pratiwi Dipoyanti
690,234,Rossy Pratiwi Dipoyanti
691,234,Rossy Pratiwi Dipoyanti
692,235,Finarsih
693,235,Finarsih
694,236,Ling Ling Agustin
695,236,Ling Ling Agustin
696,237,Anton Liederer
697,237,Anton Liederer
697,34340,Michael Billwein
697,34345,Ingo Peirits
697,34349,Horst Stocker
698,238,Riseu Rosalina
699,239,Zelin Resiana
700,239,Zelin Resiana
701,240,Yuliani Santoso
702,241,Sarwendah Kusumawardhani
703,242,Erma Sulistianingsih
704,243,Susy Susanti
705,243,Susy Susanti
706,244,Lili Tampi
707,244,Lili Tampi
708,245,Romana Tedjakusuma
709,246,Rosiana Tendean
710,247,Minarti Timur
711,247,Minarti Timur
712,248,Mia Audina
713,248,Mia Audina
714,248,Mia Audina
715,248,Mia Audina
716,249,Suzanna Wibowo
717,250,Antonius Ariantho
718,251,Rudy Gunawan
719,251,Rudy Gunawan
720,252,Eddy Hartono
721,253,Hariyanto Arbi
722,254,Tri Kusharyanto
723,254,Tri Kusharyanto
724,254,Tri Kusharyanto
725,255,Alan Budikusuma
726,255,Alan Budikusuma
727,256,Denny Kantono
728,257,Flandy Limpele
729,257,Flandy Limpele
730,257,Flandy Limpele
731,257,Flandy Limpele
732,258,Rexy Mainaky
733,258,Rexy Mainaky
734,258,Rexy Mainaky
735,259,Tonny Maringgi
736,260,Ricky Subagja
737,260,Ricky Subagja
738,260,Ricky Subagja
739,261,Suharyadi
740,261,Suharyadi
741,261,Suharyadi
742,262,Bambang Suprianto
743,262,Bambang Suprianto
744,263,Joko Suprianto
745,264,Hermawan Susanto
746,265,Anton Suseno
747,265,Anton Suseno
748,265,Anton Suseno
749,265,Anton Suseno
750,266,Donald Wailan Walalangi
751,267,Benny Wijaya
752,268,Ardy Wiranata
753,269,Bonit Wiryawan
754,270,Madhumita Bisht
755,271,Nora Polley
756,271,Nora Polley
757,272,Ambika Radhika
758,273,Niyati Roy
759,273,Niyati Roy-Shah
760,274,Zeeshan Ali
761,275,Anand Amritraj
762,276,Vijay Amritraj
763,276,Vijay Amritraj
764,277,Chetan Baboor
765,277,Chetan Baboor
766,277,Chetan Baboor
767,277,Chetan Baboor
768,278,Deepankar Bhattacharya
769,278,Deepankar Bhattacharya
770,278,Deepankar Bhattacharya
771,279,Mahesh Bhupathi
772,279,Mahesh Bhupathi
773,279,Mahesh Bhupathi
774,279,Mahesh Bhupathi
775,279,Mahesh Bhupathi
776,280,Ali Athar Fyzee
777,281,Sujay Ghorpade
778,281,Sujay Ghorpade
779,281,Sujay Ghorpade
780,282,S. M. Hadi
781,282,S. M. Hadi
782,283,Sydney Jacob
783,283,Sydney Jacob
784,283,Sydney Jacob
785,284,Ramesh Krishnan
786,284,Ramesh Krishnan
787,285,Vimal Kumar
788,285,Vimal Kumar
789,286,Kamlesh Mehta
790,286,Kamlesh Mehta
791,286,Kamlesh Mehta
792,286,Kamlesh Mehta
793,287,Leander Paes
794,287,Leander Paes
795,287,Leander Paes
796,287,Leander Paes
797,287,Leander Paes
798,287,Leander Paes
799,287,Leander Paes
800,287,Leander Paes
801,287,Leander Paes
802,287,Leander Paes
803,287,Leander Paes
804,288,Donald Rutnam
805,289,Mohammed Sleem
806,289,Mohammed Sleem
807,290,Ángel Bello
808,291,Claudio Pafundi
809,292,Maureen Adams
810,293,Deonne Bridger
811,293,Deonne Bridger
812,293,Deonne Bridger
